z	dL [Mpc]	sigma_dL [Mpc] (CF approx)	sigma_dL [Mpc] (CF approx, gaussian prior)	sigma_dL [Mpc]=2dL/SNR	SNR_GW
0.262722364808981368	1333.09766014300271	258.284842593272344	149.593813078032781	206.700950550580213	12.8988053184282823
0.363308807782185994	1939.08517131556869	453.426528674934616	209.763653446492526	285.493582287245207	13.5840893919961143
0.336311549063953219	1771.92428969593789	268.632533879021821	193.411516715414081	271.467151064829937	13.0544287420821608
0.158288090205868759	756.339871219073188	42.0286875525052679	38.3413582047954478	92.2360497468792042	16.4000924431320598
0.354063856734054827	1881.48360477769756	352.223201503074222	185.849953887098565	259.292626484114971	14.5124343124578807
0.209943375974900981	1034.51725806224476	162.711161890831619	103.776771490809367	135.326304038678509	15.2892265167688688
0.276448390941688604	1413.01319701518378	336.18889247131932	140.253157476373133	206.573118682195196	13.6805137670313268
0.516974635182368081	2947.34142276657894	341.445251679871433	219.54845436281704	442.337577019757243	13.3262086509775966
0.352208048912817428	1869.96556990109525	201.258759106325016	145.685652043607149	197.980876655256807	18.8903655897762057
0.17403615184449972	839.621818709850572	154.453336427400245	77.9743008852694146	97.2804994032702693	17.2618731166099479
0.270344297747722617	1377.36141142874953	171.050482773036151	132.700240706242056	132.247482304216016	20.8300587267186046
0.355528179767389041	1890.5824936108545	228.975134133256063	166.715873413178429	279.495484802111286	13.528536927524442
0.294346389576349399	1518.57506847543596	284.831926564166906	151.1116818431166	175.626626091511406	17.293221446777352
0.24787644691652444	1247.69797939589353	153.494238730689517	93.5357354476195724	132.641692556907611	18.8130587803015317
0.241274644664674298	1210.0726385900507	145.371518947184143	84.5897637843158776	98.490832604773694	24.5722897570753282
0.256088239485827263	1294.80132623418422	114.40502857562528	89.4355894335806028	84.9242042824015558	30.493104696713651
0.226911659914134756	1128.97154941618601	54.3408155942471325	52.200699275186814	173.860645460054597	12.9870856792093665
0.195258795757029979	953.984657976866515	137.807262455698577	82.2474871190246972	69.0751515501344013	27.6216450219285932
0.345381999394826611	1827.72954396827163	233.829017475955652	172.948820492494491	154.726545364478058	23.6252873049394623
0.400572308130891841	2174.94922553865854	269.224161928712363	170.030903706660325	334.225203569830421	13.0148726206654342
0.436932816804075141	2410.60440618386519	295.779852547369671	229.788355204179965	272.058309654763725	17.721233431486592
